text,misoginia,toxicidade,motivo
E oque temos q nós meter na vida dos outros? Cada um faz oque quer da vida.,0,1,Interrupções Hostis do Diálogo
"Sem noção mesmo, o que você quer é um Otário pra criar filho dos outros. Cadê o pai responsável? Só serviu pra  fazer não é mesmo?",0,1,Uso de Ofensas ou Insultos Diretos
"Exatamente o que eu pensei. A ""beldade"" aí sem assunto mas querendo aparecer faz uma pergunta ridícula dessa 🤦‍♂️",0,1,Interrupções Hostis do Diálogo
@  E homem que sai com prostitutas e com várias mulheres  tb é extremamente promíscuo.,0,1,Interrupções Hostis do Diálogo
"Mansur é extremamente preparado e culto!! O Rabino foi para o debate completamente despreparado, disparando senão comum raso e sem qualquer análise política, social e histórica!!!Um massacre do Mansur!!!",0,1,Desumanização e Despersonalização de Interlocutores:
"@ -z7y Não foi evento catastrófico, dali em diante vários eventos importantes e cruciais começaram a acontecer como efeito bola de neve. Pesquise ano por ano no google e verás",0,0,
"@   se vc caiu de cara no honeypot 🍝d uma ser de luz com mentlaidade de colméia🐝, as chances de vc ter sido hackeado pela matrix com algum malware na sua saúde são grandes. cuidado, neo.  kkkkkkkkkkkkkk",0,0,
Quem deseja mal ao seu vizinho o seu mal vem no caminho,0,0,
"Cara, que debate top , viu! Dois intelectos surpreendentes 👏🏻",0,0,
"@ -b7c teve não, igual chamar lule de ladrão é falar de como ele não é corrupto, relaxa amige",0,1,
Sigo meu caminho solteiro morando sozinho investindo em mim mesmo vivendo na Solitude e na Paz,0,0,
Estranho uma mãe botar a culpa na própria filha  🤔🤔🤔,0,0,
"Casamento é uma instituição falida por milhares de motivos, principalmente as leis , mulher com hipergamia e cheio de exigência malucas .",1,1,
"@ .HarleyQuinzel3164  Não sei que mundinho vc ta vivendo, que mulher fica fazendo marmitinha pra marido..  Organização doméstica hj em dia é dividida, homem ficando com a parte mais pesada, conserto e etc, muhleres com a partes mais relacionadas a limpeza e comida qndo não é diviido. Mulheres estão cada vez mais gameres tbm. Mas no geral o q pega mais pra mulher são hobbieis esta´ticos como ler livro, ver serie, filme ou socializar com as amiigas .  A academia salvou a vida de algumas mulheres, pq até então mulheres em sua grande maioria tinham pouco interesse por esportes. A acaademia se salva por conta da estéticia. Vcs são neuroticamente atreladas a estética. Agora lembre-se de uma coisa: Homens vivem menos, pq será ?  a maioria trabalha muito e adoece. E homens morrem 3x mais do que aas mulheres em serviço pq assumem maisi trabalho insalubre do que mulheres, mais trabalhos de alto risco ...Tu qr q minah filha? q ue o cara se foda com trabalho insalubre e chega em casa e ainda viidida com igualdadae as atividades domésticas ? kkkkkhomem classe media ou elitei com pouco trabalho braçal é a minoria das famílias qrida.. VC q ta fora da realidade. Apenas nesse caso justificaria o homem ter menos trabalho em casa ..   Agora se quer igualdadae nisso, q tal começarem a preencher as vagas de infraestrutura, saneamento ,esgoto, construção civil ?ULTIMO PONTO : MUITAS DAS MMULHERES Q TEM ESSE HOBBIES FUTEIS CITADOS, NEM FILHO E NEM CASADAS SÃO... geralmente aquelas meniinhas de classe média criadas a leite com pera",1,1,
Ela parece estar mais preocupada em estar viva.,0,0,
"Jesus esta contigo , tenha calma e o melhor vem a você",0,0,
"No Muay Thai na Tailândia, os trans, chamados de ladyboys lutam  na categoria masculina.",0,1,
"Obedece o pai, e a mãe não,  tem que  obedecer os dois, vc mãe tem que  ter punho firme com ele !",0,0,
Homens prospere para si! Mulher se tiver a oportunidade acaba com a sua vida!,1,1,
"Ela é muito bonita mesmo sem filtro, se ela pusesse maquiagem física ela ficaria bem do mesmo jeito, como se tivesse filtro",0,0,
"Comentario do jorjao das cove! Essas muieee dioje sai dano pra todos menos o marido, os marido tambem sai dano pros otro la da tar de acadimia!!",1,1,
o Texas é o melhor lugar do mundo pra quem quer prosperar? Tem muito emprego bom lá?,0,0,
"@  a sociedade demanda, a sociedade provém, se no pequeno núcleo familiar, se na comunidade, ou na região ou do outro lado do mundo, não importa, como desde os primórdios até então. Você quer se ater a estritamente a definição Smithiana de formação de preço, ela só existe dentro desse sistema mesmo, é tautologico, era o que ele estava estudando. Sigo o ponto, a gente não precisa do livre mercado smithianos pra regular a produção (já que não quer chamar de oferta, chame do que quiser, pra mim é oferta de bens de consumo, aquilo que é passível de ser usado e consumido pela sociedade) isso foi feito em toda história humana e provocou imensos saltos de qualidade em diversos momentos históricos.Aliás as pessoas inclusive não lêem Adam Smith que fez um estudo para grandes chefes de Estado conduzirem o desenvolvimento capitalista, já ele dizia que era fundamental a presença de um Estado que corrigiria os problemas do livre mercado, como a tendência ao monopólio e alienação do trabalhado entre outros são tópicos discutidos por ele. Totalmente diferente dos ancaps que não entendem o quão umbilical é a ligação do capital com o Estado.",0,0,
"@  Aceitam ser o próximo, mas duvido que assumam para casar se for assim...kkkk",1,1,
"Parceiro, separa logo. É melhor sofrer um bocado uma única vez do que ficar sofrendo um pouquinho, todos os dias, por anos.",0,0,
"Pra mim, isso se enquadra perfeitamente como extorsão e estelionato.",0,0,
Eu nunca bebi e nunca beberei álcool.,0,0,
"Os pais de hoje são irresponsaveis e assim criam crianças sem educação, os futuros marginais.",0,1,
O corno é o último a saber última lei Newton kkkkk,0,1,
"TOME CUIDADO!! PARA NÃO FICA FAMOSA NO CIDADE ALERTA!! COM ESSA MENTALIDADE VC, VAI ACABAR SE DANDO MUITO MAL!! NEM TODO HOMEM ACEITA TOMAR GOLPE E FICAR CALADO!!",1,1,