model/test,macro_precision,macro_recall,macro_f1,class0precision,class0recall,class0f1,class1precision,class1recall,class1f1
LLama Zero-Shot (Teste 1). portugues sem conceito,"0.679 (0.660, 0.697)","0.725 (0.700, 0.749)","0.637 (0.616, 0.658)","0.933 (0.911, 0.955)","0.559 (0.536, 0.582)","0.699 (0.677, 0.721)","0.424 (0.407, 0.441)","0.890 (0.854, 0.927)","0.574 (0.552, 0.597)"
LLama Zero-Shot (Teste 2) ingles sem conceito,"0.704 (0.682, 0.726)","0.761 (0.732, 0.790)","0.687 (0.663, 0.712)","0.937 (0.913, 0.960)","0.640 (0.617, 0.663)","0.761 (0.739, 0.782)","0.472 (0.449, 0.494)","0.881 (0.837, 0.925)","0.614 (0.586, 0.643)"
"LLama Zero-Shot (Teste 3), portugues com conceito","0.715 (0.691, 0.739)","0.775 (0.743, 0.806)","0.703 (0.678, 0.729)","0.942 (0.917, 0.968)","0.661 (0.639, 0.682)","0.777 (0.756, 0.797)","0.488 (0.464, 0.513)","0.889 (0.840, 0.938)","0.630 (0.599, 0.662)"
"LLama Zero-Shot (Teste 4), ingles  com conceito","0.736 (0.714, 0.758)","0.754 (0.731, 0.777)","0.743 (0.721, 0.766)","0.875 (0.862, 0.889)","0.833 (0.818, 0.848)","0.854 (0.840, 0.868)","0.596 (0.565, 0.628)","0.675 (0.642, 0.707)","0.633 (0.601, 0.665)"
LLama Few-Shot (Teste 1),"0.704 (0.694, 0.713)","0.752 (0.738, 0.767)","0.661 (0.638, 0.683)","0.956 (0.950, 0.962)","0.580 (0.542, 0.617)","0.717 (0.688, 0.746)","0.451 (0.431, 0.471)","0.925 (0.911, 0.939)","0.604 (0.588, 0.620)"
LLama Few-Shot (Teste 2),"0.709 (0.699, 0.718)","0.760 (0.745, 0.775)","0.671 (0.648, 0.693)","0.958 (0.952, 0.963)","0.594 (0.557, 0.631)","0.729 (0.700, 0.758)","0.460 (0.440, 0.479)","0.926 (0.913, 0.939)","0.612 (0.596, 0.628)"
LLama Few-Shot (Teste 3),"0.719 (0.709, 0.729)","0.776 (0.763, 0.789)","0.700 (0.681, 0.718)","0.951 (0.944, 0.957)","0.646 (0.616, 0.676)","0.767 (0.745, 0.788)","0.488 (0.469, 0.507)","0.907 (0.894, 0.921)","0.633 (0.617, 0.648)"
LLama Few-Shot (Teste 4),"0.716 (0.706, 0.726)","0.772 (0.757, 0.787)","0.688 (0.667, 0.710)","0.956 (0.950, 0.963)","0.623 (0.588, 0.657)","0.751 (0.724, 0.778)","0.476 (0.457, 0.496)","0.920 (0.906, 0.934)","0.626 (0.609, 0.642)"
LLama Few-Shot Embeddings RoBERTa (Teste 1),"0.685 (0.668, 0.703)","0.733 (0.710, 0.757)","0.645 (0.623, 0.667)","0.939 (0.921, 0.957)","0.567 (0.543, 0.591)","0.707 (0.685, 0.730)","0.431 (0.414, 0.449)","0.900 (0.871, 0.928)","0.583 (0.562, 0.604)"
LLama Few-Shot Embeddings RoBERTa (Teste 2),"0.693 (0.677, 0.709)","0.742 (0.718, 0.766)","0.650 (0.619, 0.681)","0.950 (0.940, 0.959)","0.566 (0.518, 0.613)","0.709 (0.671, 0.747)","0.436 (0.410, 0.462)","0.918 (0.903, 0.933)","0.591 (0.567, 0.615)"
LLama Few-Shot Embeddings RoBERTa (Teste 3),"0.695 (0.680, 0.709)","0.746 (0.727, 0.765)","0.658 (0.643, 0.673)","0.947 (0.929, 0.965)","0.581 (0.569, 0.594)","0.720 (0.708, 0.733)","0.442 (0.430, 0.455)","0.911 (0.881, 0.941)","0.595 (0.578, 0.613)"
LLama Few-Shot Embeddings RoBERTa (Teste 4),"0.699 (0.679, 0.719)","0.752 (0.727, 0.777)","0.665 (0.645, 0.686)","0.949 (0.921, 0.978)","0.591 (0.561, 0.622)","0.729 (0.706, 0.751)","0.449 (0.431, 0.467)","0.913 (0.863, 0.963)","0.602 (0.579, 0.624)"
LLama Few-Shot Embeddings BERTimbau (Teste 1),"0.672 (0.652, 0.691)","0.709 (0.681, 0.738)","0.609 (0.576, 0.642)","0.940 (0.919, 0.960)","0.508 (0.460, 0.556)","0.659 (0.617, 0.701)","0.404 (0.380, 0.427)","0.911 (0.881, 0.941)","0.559 (0.534, 0.584)"
LLama Few-Shot Embeddings BERTimbau (Teste 2),"0.683 (0.669, 0.696)","0.723 (0.702, 0.743)","0.620 (0.593, 0.647)","0.953 (0.935, 0.971)","0.516 (0.469, 0.563)","0.669 (0.631, 0.707)","0.412 (0.393, 0.432)","0.929 (0.899, 0.959)","0.571 (0.553, 0.589)"
LLama Few-Shot Embeddings BERTimbau (Teste 3),"0.683 (0.662, 0.704)","0.727 (0.697, 0.757)","0.632 (0.599, 0.665)","0.944 (0.924, 0.965)","0.541 (0.493, 0.590)","0.688 (0.647, 0.728)","0.421 (0.395, 0.447)","0.913 (0.878, 0.947)","0.576 (0.549, 0.603)"
LLama Few-Shot Embeddings BERTimbau (Teste 4),"0.686 (0.665, 0.707)","0.734 (0.705, 0.763)","0.646 (0.614, 0.679)","0.940 (0.921, 0.958)","0.569 (0.522, 0.616)","0.708 (0.670, 0.747)","0.433 (0.405, 0.461)","0.900 (0.870, 0.929)","0.584 (0.556, 0.613)"
LLama Few-Shot Embeddings MiniLM (Teste 1),"0.692 (0.670, 0.713)","0.742 (0.713, 0.772)","0.657 (0.621, 0.694)","0.940 (0.928, 0.952)","0.587 (0.534, 0.639)","0.722 (0.680, 0.764)","0.443 (0.410, 0.476)","0.898 (0.879, 0.916)","0.593 (0.562, 0.624)"
LLama Few-Shot Embeddings MiniLM (Teste 2),"0.703 (0.684, 0.722)","0.756 (0.730, 0.782)","0.665 (0.637, 0.694)","0.957 (0.943, 0.971)","0.585 (0.548, 0.621)","0.726 (0.694, 0.757)","0.449 (0.424, 0.475)","0.927 (0.905, 0.950)","0.605 (0.578, 0.632)"
LLama Few-Shot Embeddings MiniLM (Teste 3),"0.710 (0.691, 0.729)","0.768 (0.743, 0.793)","0.689 (0.661, 0.717)","0.948 (0.934, 0.962)","0.631 (0.593, 0.669)","0.757 (0.728, 0.787)","0.473 (0.445, 0.501)","0.905 (0.880, 0.930)","0.621 (0.594, 0.648)"
LLama Few-Shot Embeddings MiniLM (Teste 4),"0.708 (0.688, 0.729)","0.766 (0.739, 0.793)","0.688 (0.660, 0.716)","0.945 (0.930, 0.960)","0.632 (0.599, 0.665)","0.757 (0.729, 0.785)","0.472 (0.445, 0.499)","0.900 (0.875, 0.924)","0.619 (0.590, 0.647)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 1),"0.711 (0.686, 0.736)","0.768 (0.734, 0.802)","0.688 (0.647, 0.729)","0.950 (0.930, 0.969)","0.627 (0.565, 0.689)","0.755 (0.708, 0.801)","0.472 (0.433, 0.512)","0.909 (0.873, 0.945)","0.621 (0.584, 0.658)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 2),"0.717 (0.701, 0.733)","0.776 (0.754, 0.798)","0.695 (0.668, 0.722)","0.956 (0.940, 0.972)","0.633 (0.587, 0.679)","0.761 (0.728, 0.794)","0.478 (0.451, 0.505)","0.920 (0.888, 0.952)","0.629 (0.605, 0.653)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 3),"0.723 (0.702, 0.744)","0.784 (0.755, 0.813)","0.705 (0.667, 0.743)","0.957 (0.944, 0.970)","0.648 (0.588, 0.708)","0.772 (0.728, 0.815)","0.489 (0.451, 0.528)","0.920 (0.893, 0.947)","0.638 (0.605, 0.671)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 4),"0.725 (0.706, 0.745)","0.787 (0.761, 0.813)","0.712 (0.677, 0.746)","0.954 (0.945, 0.963)","0.661 (0.608, 0.715)","0.780 (0.742, 0.819)","0.497 (0.462, 0.532)","0.913 (0.895, 0.930)","0.643 (0.613, 0.673)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 1),"0.682 (0.663, 0.700)","0.725 (0.700, 0.750)	","0.629 (0.605, 0.652)","0.945 (0.925, 0.964)","0.536 (0.510, 0.562)","0.684 (0.658, 0.709)","0.418 (0.400, 0.437)","0.914 (0.886, 0.943)","0.574 (0.551, 0.596)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 2),"0.695 (0.670, 0.720)","0.743 (0.712, 0.774)","0.645 (0.620, 0.671)","0.959 (0.929, 0.988)","0.551 (0.534, 0.569)","0.700 (0.679, 0.722)","0.432 (0.411, 0.453)","0.935 (0.889, 0.981)","0.591 (0.562, 0.620)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 3),"0.692 (0.665, 0.719)","0.740 (0.707, 0.773)","0.646 (0.622, 0.670)","0.952 (0.915, 0.990)","0.558 (0.533, 0.583)","0.704 (0.682, 0.725)","0.432 (0.412, 0.452)","0.922 (0.860, 0.984)","0.588 (0.559, 0.618)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 4),"0.698 (0.672, 0.724)","0.751 (0.719, 0.782)","0.665 (0.642, 0.688)","0.947 (0.912, 0.982)","0.594 (0.569, 0.619)","0.730 (0.709, 0.750)","0.449 (0.429, 0.469)","0.907 (0.845, 0.969)","0.600 (0.571, 0.630)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 1),"0.686 (0.657, 0.716)","0.735 (0.694, 0.775)","0.650 (0.602, 0.698)","0.935 (0.907, 0.962)","0.581 (0.507, 0.655)","0.715 (0.658, 0.772)","0.438 (0.394, 0.481)","0.889 (0.840, 0.938)","0.586 (0.546, 0.626)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 2),"0.702 (0.676, 0.728)","0.754 (0.719, 0.790)","0.664 (0.622, 0.706)","0.954 (0.935, 0.974)","0.585 (0.525, 0.644)","0.724 (0.677, 0.772)","0.449 (0.410, 0.488)","0.924 (0.894, 0.953)","0.604 (0.567, 0.641)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 3),"0.698 (0.670, 0.727)","0.751 (0.712, 0.789)","0.669 (0.619, 0.719)","0.942 (0.925, 0.958)","0.604 (0.527, 0.680)","0.734 (0.676, 0.792)","0.455 (0.406, 0.503)","0.898 (0.869, 0.927)","0.603 (0.560, 0.646)"
LLama Few-Shot Embeddings Qwen3 - 8B (Teste 4),"0.706 (0.683, 0.730)","0.763 (0.733, 0.793)","0.684 (0.650, 0.718)","0.945 (0.927, 0.962)","0.626 (0.578, 0.674)","0.753 (0.716, 0.789)","0.468 (0.434, 0.503)","0.900 (0.869, 0.930)","0.616 (0.583, 0.648)"
BerTimbau,"0.800 (0.786, 0.814)","0.800  (0.779, 0.821)","0.800 (0.784, 0.815)","0.894 (0.878, 0.909)","0.892 (0.875, 0.910)","0.893 (0.886, 0.900)","0.706 (0.678, 0.735)","0.708 (0.656, 0.760)","0.707 (0.681, 0.732)"
RoBERTa - misoginia - desbalanceado,"0.769 (0.752, 0.787)","0.773 (0.738, 0.807)","0.770 (0.746, 0.795)","0.880 (0.855, 0.906)","0.873 (0.857, 0.889)","0.876 (0.868, 0.884)","0.658 (0.640, 0.677)","0.673 (0.593, 0.753)","0.664 (0.623, 0.706)"
RoBERTa - misoginia - balanceado 50/50,"0.750 (0.742, 0.758)","0.794 (0.779, 0.809)","0.761 (0.753, 0.769)","0.914 (0.894, 0.934)","0.794 (0.762, 0.827)","0.849 (0.838, 0.861)","0.585 (0.562, 0.609)",0.794 (0.737 - 0.851),0.673 (0.662 - 0.684)
RoBERTa - misoginia - balanceado 60/40,"0.756 (0.727, 0.784)","0.788 (0.770, 0.806)","0.766 (0.741, 0.790)","0.903 (0.888, 0.917)","0.820 (0.772, 0.868)","0.859 (0.835, 0.882)","0.609 (0.550, 0.668)","0.756 (0.708, 0.805)","0.673 (0.645, 0.701)"
TabPFN - misoginia,"0.4666 (0.3660, 0.8669)","0.5009 (0.5000, 0.5046)","0.4249 (0.4226, 0.4324)","0.7332 (0.7320, 0.7345)","1.0000 (1.0000, 1.0000)","0.8461 (0.8453, 0.8469)","0.2000 (0.0000, 1.0000)","0.0019 (0.0000, 0.0093)","0.0037 (0.0000, 0.0183)"
Regressao Logistica Misoginia TF-IDF (sem stop words),"0.716 (0.697, 0.735)","0.736 (0.716, 0.755)","0.723 (0.706, 0.740)","0.868 (0.851, 0.885)","0.814 (0.777, 0.850)","0.839 (0.824, 0.855)","0.565 (0.528, 0.601)","0.658 (0.599, 0.717)","0.606 (0.582, 0.631)"
Regressao Logistica Misoginia TF-IDF (stop words padrão),"0.684 (0.662, 0.705)","0.701 (0.675, 0.728)","0.689 (0.667, 0.711)","0.849 (0.827, 0.870)","0.791 (0.746, 0.837)","0.818 (0.798, 0.839)","0.518 (0.481, 0.556)","0.612 (0.535, 0.688)","0.559 (0.526, 0.593)"
Regressao Logistica Misoginia TF-IDF (stop words customizadas),"0.685 (0.670, 0.701)","0.701 (0.679, 0.723)","0.691 (0.674, 0.707)","0.847 (0.829, 0.864)","0.801 (0.769, 0.833)","0.823 (0.810, 0.836)","0.524 (0.498, 0.551)","0.600 (0.536, 0.665)","0.559 (0.530, 0.588)"
Regressao Logistica Misoginia TF-IDF (sem stop words + stemming),"0.730 (0.705, 0.756)","0.746 (0.723, 0.769)","0.736 (0.713, 0.760)","0.870 (0.856, 0.885)","0.832 (0.800, 0.864)","0.851 (0.833, 0.868)","0.590 (0.545, 0.636)","0.660 (0.614, 0.706)","0.622 (0.590, 0.654)"
Regressao Logistica Misoginia TF-IDF (stop words padrão + stemming),"0.699 (0.693, 0.706)","0.716 (0.695, 0.737)","0.705 (0.695, 0.716)","0.855 (0.836, 0.874)","0.809 (0.781, 0.837)","0.831 (0.825, 0.838)","0.544 (0.532, 0.555)","0.623 (0.553, 0.693)","0.579 (0.553, 0.605)"
Regressao Logistica Misoginia TF-IDF (stop words customizadas + stemming),"0.679 (0.645, 0.713)","0.693 (0.658, 0.728)","0.684 (0.650, 0.718)","0.842 (0.821, 0.863)","0.797 (0.758, 0.837)","0.819 (0.795, 0.843)","0.516 (0.464, 0.569)","0.589 (0.524, 0.654)","0.549 (0.501, 0.597)"
Regressão Logística Misoginia com entrada os embeddings do Roberta,"0.606 (0.341, 0.870)","0.586 (0.344, 0.828)","0.553 (0.301, 0.806)","0.777 (0.626, 0.927)","0.830 (0.549, 1.000)","0.792 (0.604, 0.979)","0.435 (0.012, 0.858)","0.342 (0.000, 0.797)","0.315 (0.000, 0.730)"
Regressão Logística Misoginia com entrada os embeddings do Roberta (com ajuste de parâmetros),"0.741 (0.665, 0.817)","0.754 (0.673, 0.834)","0.718 (0.609, 0.827)","0.900 (0.838, 0.962)","0.759 (0.527, 0.992)","0.809 (0.666, 0.953)","0.583 (0.402, 0.763)","0.748 (0.523, 0.972)","0.627 (0.537, 0.717)"
Regressão Logística Misoginia com entrada os embeddings do RoBERTa (com PCA e Otimização via GridSearch),"0.748 (0.708, 0.788)","0.789 (0.745, 0.834)","0.758 (0.713, 0.802)","0.911 (0.881, 0.942)","0.793 (0.730, 0.855)","0.847 (0.809, 0.885)","0.584 (0.518, 0.651)","0.786 (0.704, 0.868)","0.668 (0.614, 0.723)"
Regressão Logística Misoginia com entrada os embeddings do BERTimbau,"0.676 (0.522, 0.830)","0.681 (0.528, 0.834)","0.661 (0.505, 0.817)","0.845 (0.746, 0.945)","0.803 (0.622, 0.984)","0.813 (0.714, 0.913)","0.507 (0.267, 0.747)","0.560 (0.187, 0.932)","0.508 (0.244, 0.772)"
Regressão Logística Misoginia com entrada os embeddings do BERTimbau (com ajuste de parâmetros),"0.668 (0.574, 0.761)","0.650 (0.528, 0.772)","0.611 (0.453, 0.769)","0.851 (0.734, 0.968)","0.738 (0.394, 1.000)","0.749 (0.505, 0.993)","0.484 (0.319, 0.649)","0.562 (0.152, 0.971)","0.473 (0.279, 0.667)"
Regressão Logística Misoginia com entrada os embeddings do BERTimbau (com PCA e Otimização via GridSearch),"0.735 (0.676, 0.795)","0.758 (0.657, 0.860)","0.700 (0.513, 0.887)","0.926 (0.883, 0.968)","0.694 (0.372, 1.000)","0.761 (0.494, 1.000)","0.545 (0.384, 0.706)","0.823 (0.704, 0.943)","0.639 (0.531, 0.748)"
Regressão Logística Toxicidade com entrada os embeddings do MiniLM,"0.717 (0.657, 0.778)","0.716 (0.667, 0.764)","0.691 (0.577, 0.804)","0.870 (0.830, 0.910)","0.765 (0.501, 1.000)","0.796 (0.624, 0.967)","0.565 (0.404, 0.725)","0.666 (0.479, 0.852)","0.586 (0.528, 0.645)"
Regressão Logística Toxicidade com entrada os embeddings do MiniLM (com ajuste de parâmetros),"0.650 (0.479, 0.820)","0.696 (0.544, 0.849)","0.602 (0.333, 0.871)","0.843 (0.654, 1.000)","0.553 (0.161, 0.945)","0.631 (0.219, 1.000)","0.456 (0.278, 0.633)","0.840 (0.737, 0.944)","0.573 (0.443, 0.703)"
Regressão Logística Toxicidade com entrada os embeddings do MiniLM (com PCA e Otimização via GridSearch),"0.706 (0.643, 0.769)","0.739 (0.652, 0.827)","0.674 (0.529, 0.819)","0.916 (0.885, 0.947)","0.650 (0.389, 0.911)","0.741 (0.538, 0.944)","0.497 (0.355, 0.638)","0.829 (0.702, 0.957)","0.607 (0.518, 0.696)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 0.6B,"0.293 (0.161, 0.425)","0.497 (0.487, 0.506)","0.338 (0.193, 0.483)","0.480 (0.040, 0.920)","0.601 (0.000, 1.000)","0.509 (0.000, 1.000)","0.106 (0.000, 0.286)","0.393 (0.000, 1.000)","0.167 (0.000, 0.450)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 0.6B (com ajuste de parâmetros),"0.475 (0.310, 0.639)","0.518 (0.487, 0.549)","0.400 (0.228, 0.573)","0.686 (0.433, 0.939)","0.574 (0.000, 1.000)","0.533 (0.036, 1.000)","0.263 (0.065, 0.462)","0.462 (0.000, 1.000)","0.268 (0.046, 0.490)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 0.6B (com PCA e Otimização via GridSearch),"0.525 (0.502, 0.548)","0.531 (0.502, 0.559)","0.491 (0.443, 0.540)","0.759 (0.734, 0.784)","0.526 (0.350, 0.701)","0.611 (0.483, 0.739)","0.292 (0.266, 0.317)","0.535 (0.340, 0.731)","0.372 (0.316, 0.428)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 4B,"0.744 (0.710, 0.778)","0.712 (0.680, 0.744)","0.724 (0.691, 0.758)","0.839 (0.823, 0.855)","0.896 (0.884, 0.909)","0.867 (0.852, 0.881)","0.649 (0.597, 0.701)","0.528 (0.476, 0.580)","0.582 (0.530, 0.635)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 4B (com ajuste de parâmetros),"0.751 (0.729, 0.773)","0.782 (0.768, 0.797)","0.761 (0.742, 0.781)","0.899 (0.886, 0.911)","0.820 (0.778, 0.861)","0.857 (0.837, 0.877)","0.604 (0.557, 0.651)","0.745 (0.702, 0.789)","0.666 (0.645, 0.687)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 4B (com PCA e Otimização via GridSearch),"0.737 (0.729, 0.746)","0.771 (0.759, 0.783)","0.747 (0.738, 0.757)","0.894 (0.879, 0.910)","0.804 (0.769, 0.840)","0.846 (0.832, 0.861)","0.580 (0.554, 0.606)","0.738 (0.684, 0.792)","0.649 (0.636, 0.661)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 8B,"0.780 (0.764, 0.796)","0.766 (0.734, 0.799)","0.771 (0.749, 0.794)","0.872 (0.848, 0.897)","0.893 (0.862, 0.924)","0.882 (0.873, 0.891)","0.688 (0.652, 0.724)","0.639 (0.549, 0.729)","0.660 (0.619, 0.701)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 8B (com ajuste de parâmetros),"0.745 (0.715, 0.775)","0.783 (0.743, 0.823)","0.757 (0.725, 0.789)","0.903 (0.874, 0.932)","0.805 (0.786, 0.823)","0.851 (0.833, 0.869)","0.587 (0.553, 0.621)","0.762 (0.686, 0.838)","0.663 (0.616, 0.710)"
Regressão Logística Toxicidade com entrada os embeddings do Qwen3 8B (com PCA e Otimização via GridSearch),"0.754 (0.727, 0.780)","0.796 (0.774, 0.818)","0.764 (0.733, 0.796)","0.914 (0.900, 0.929)","0.798 (0.740, 0.857)","0.851 (0.820, 0.883)","0.593 (0.537, 0.649)","0.794 (0.746, 0.842)","0.677 (0.645, 0.710)"
Perspective,"0.636 (0.617, 0.654)","0.651 (0.612, 0.689)","0.636 (0.613, 0.659)","0.823 (0.791, 0.855)","0.751 (0.673, 0.829)","0.784 (0.754, 0.813)","0.448 (0.424, 0.473)","0.550 (0.403, 0.696)","0.488 (0.427, 0.549)"
Detoxify,"0.598 (0.566, 0.629)","0.593 (0.572, 0.614)","0.594 (0.570, 0.617)","0.782 (0.772, 0.793)","0.789 (0.726, 0.851)","0.785 (0.753, 0.817)","0.413 (0.355, 0.471)","0.398 (0.347, 0.448)","0.402 (0.376, 0.429)"